acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
-0.600977081,-9.620603627,-0.142662317,1.271966305,-2.211617089,-0.538580327
-0.668717583,-9.588594186,-0.193890235,0.974028252,-2.440800207,-0.435447924
-0.684580255,-9.646691949,-0.121533147,1.329262085,-2.245994557,-0.469825392
-0.663894301,-9.651963647,-0.069608621,1.363639552,-2.40642274,-0.538580327
-0.652222265,-9.639159929,-0.065128394,1.317802929,-1.8449241,-0.641712731
-0.651889902,-9.617529664,-0.082674069,1.39801702,-1.684495918,-0.423988768
-0.648818293,-9.567609026,-0.094154614,1.271966305,-1.478231111,-0.561498639
-0.675692788,-9.564781294,-0.103757623,1.054242343,-1.329262085,-0.263560586
-0.674996768,-9.589623647,-0.101802883,1.20321137,-1.294884617,-0.412529612
-0.660279708,-9.576505519,-0.067113055,1.088619811,-1.535526891,-0.939650784
-0.676248034,-9.629076132,-0.106033936,0.870895849,-1.14591559,-0.687549354
-0.677102975,-9.615902185,-0.103638235,0.710467666,-0.905273316,-0.423988768
-0.639734331,-9.61295065,-0.089494276,0.676090198,-0.985487408,-0.355233833
-0.624722088,-9.556068444,-0.130452889,0.75630429,-0.847977537,-0.263560586
-0.60785909,-9.543659972,-0.113203084,0.676090198,-0.928191628,-0.343774677
-0.598203696,-9.567070752,-0.170202911,0.790681757,-0.905273316,-0.561498639
-0.574095719,-9.577621014,-0.149050786,0.89381416,-0.847977537,-0.217723962
-0.610644051,-9.591357074,-0.128200219,0.962569096,-1.191752214,-0.286478898
-0.625118412,-9.621942692,-0.097495017,1.065701499,-1.283425461,-0.275019742
-0.624690892,-9.571279536,-0.191892233,1.512608579,-1.122997278,0.080214091
-0.602000656,-9.596490255,-0.156480781,1.352180397,-1.249047993,-0.332315521
-0.590376002,-9.646271885,-0.159674917,1.054242343,-1.39801702,-0.343774677
-0.603966384,-9.637166243,-0.204228602,1.443853644,-1.249047993,-0.217723962
-0.588200243,-9.659777116,-0.175743011,1.822005789,-1.226129682,-0.366692989
-0.596420728,-9.65107388,-0.141886444,2.028270595,-1.535526891,-0.206264806
-0.60299951,-9.617324243,-0.121841181,1.730332541,-1.741791697,0.011459156
-0.566560854,-9.636188971,-0.152001732,1.615740982,-1.833464944,0.080214091
-0.603096335,-9.553773395,-0.159749277,1.753250853,-1.627200138,0.148969027
-0.628078874,-9.525091407,-0.149382167,1.638659294,-1.386557864,-0.05729578
-0.618581028,-9.515526167,-0.171046277,1.569904359,-1.283425461,-0.068754935
-0.641484533,-9.553163801,-0.197569476,1.627200138,-1.283425461,0.217723962
-0.656654128,-9.602891182,-0.197298818,1.59282267,-1.14591559,-0.25210143
-0.634141159,-9.622180683,-0.177154866,1.695955074,-1.271966305,-0.458366236
-0.650884475,-9.631596517,-0.128503741,1.535526891,-1.546986047,-0.309397209
-0.611261787,-9.660023641,-0.115492149,1.833464944,-1.340721241,-0.137509871
-0.616020716,-9.648980426,-0.094638051,1.260507149,-1.478231111,-0.355233833
-0.621688443,-9.641489216,-0.101057715,1.031324031,-1.466771956,-0.183346494
-0.625996211,-9.643460731,-0.12083134,0.779222601,-1.386557864,0.103132403
-0.616552516,-9.633817109,-0.099978615,0.89381416,-1.271966305,0.229183118
-0.644480114,-9.651418309,-0.106965199,0.69900851,-1.466771956,0.263560586
-0.643971368,-9.647827653,-0.113844854,0.595876107,-1.856383256,0.378152145
-0.652899743,-9.629684352,-0.133705395,0.469825392,-2.119943842,0.572957795
-0.667439733,-9.626070446,-0.174046371,0.676090198,-1.982433971,0.435447924
-0.66641135,-9.597388851,-0.148131,0.538580327,-2.257453713,0.435447924
-0.621347252,-9.603595834,-0.222642757,0.515662016,-2.303290336,0.309397209
-0.596379821,-9.584945455,-0.213765688,0.25210143,-1.90221988,0.435447924
-0.624246989,-9.589554977,-0.154416954,0.034377468,-1.271966305,0.836518381
-0.57395004,-9.604016487,-0.15269422,0.435447924,-1.283425461,0.584416951
-0.582794736,-9.582720547,-0.190151056,0.572957795,-1.524067735,0.813600069
-0.615878275,-9.610201103,-0.18096095,0.492743704,-1.615740982,0.916732472
-0.630903859,-9.634940942,-0.169698187,0.69900851,-1.340721241,0.630253575
-0.622372102,-9.611693597,-0.179712333,0.309397209,-1.799087477,0.802140913
-0.578116053,-9.631941044,-0.139522627,0.034377468,-2.028270595,0.974028252
-0.577246004,-9.626298725,-0.197859754,-0.068754935,-2.09702553,0.802140913
-0.595258341,-9.598681809,-0.250214547,0.045836624,-1.569904359,0.790681757
-0.604494751,-9.640483298,-0.224118279,0.412529612,-1.627200138,0.847977537
-0.6068363,-9.597535118,-0.205449359,0.813600069,-1.764710009,0.825059225
-0.619673371,-9.601920188,-0.257376533,0.882355005,-1.581363515,0.44690708
-0.651064881,-9.616421134,-0.276263236,0.962569096,-1.604281826,0.618794419
-0.646747009,-9.584261501,-0.210619817,0.985487408,-1.810546633,0.630253575
-0.612759185,-9.588541801,-0.218218643,0.572957795,-1.707414229,0.721926822
-0.617333981,-9.604074857,-0.20500781,0.50420286,-1.8449241,0.75630429
-0.625884769,-9.608975148,-0.149738761,0.229183118,-2.028270595,1.042783187
-0.64225089,-9.589307373,-0.217990855,0.343774677,-1.90221988,0.779222601
-0.650298131,-9.598173553,-0.217521544,0.481284548,-1.604281826,0.985487408
-0.664103548,-9.561253912,-0.190159591,0.148969027,-1.466771956,0.962569096
-0.677910829,-9.560242011,-0.25201321,0.481284548,-1.386557864,0.75630429
-0.647795894,-9.537515576,-0.254041624,0.05729578,-1.226129682,0.916732472
-0.649987547,-9.524471612,-0.276160623,0.206264806,-1.077160655,1.088619811
-0.601902164,-9.530273638,-0.296866296,0.630253575,-1.111538123,0.882355005
-0.601923157,-9.521507226,-0.252097086,0.481284548,-1.111538123,0.916732472
-0.691876247,-9.548969732,-0.198971914,0.435447924,-0.721926822,0.423988768
-0.663037397,-9.596994195,-0.199961448,0.538580327,-0.401070457,0.412529612
-0.657285794,-9.603992551,-0.193666371,0.584416951,-0.423988768,0.733385978
-0.652987837,-9.585884566,-0.218504016,0.790681757,-0.641712731,1.019864875
-0.665567887,-9.595174734,-0.22418842,0.44690708,-0.802140913,0.733385978
-0.672265566,-9.593618868,-0.268553459,0.802140913,-0.44690708,0.469825392
-0.689990863,-9.577733829,-0.264288365,0.641712731,-0.618794419,0.710467666
-0.667240295,-9.604780097,-0.235057704,0.847977537,-0.561498639,0.206264806
-0.644627166,-9.627743934,-0.229139331,1.191752214,-0.481284548,0.229183118
-0.673801223,-9.619899662,-0.244387701,0.89381416,-0.343774677,0.435447924
-0.663147563,-9.627448359,-0.23641688,1.019864875,-0.469825392,0.297938053
-0.676398813,-9.61307975,-0.236827526,0.985487408,-0.905273316,0.137509871
-0.652646743,-9.590144951,-0.17620153,0.767763445,-1.249047993,0.263560586
-0.683750231,-9.585989435,-0.184734072,0.847977537,-1.100078967,0.217723962
-0.652901705,-9.593707354,-0.209152143,0.630253575,-0.721926822,-0.05729578
-0.687316853,-9.566414463,-0.190260339,0.44690708,-0.481284548,-0.148969027
-0.668066886,-9.552477886,-0.227728849,0.595876107,-0.847977537,-0.137509871
-0.640793026,-9.552765221,-0.23715675,0.584416951,-0.595876107,0.217723962
-0.653383867,-9.59324442,-0.205700298,0.595876107,-0.653171886,0.114591559
-0.65101534,-9.575725134,-0.222845039,0.767763445,-0.550039483,0.19480565
-0.651245679,-9.58801363,-0.194656396,0.641712731,-0.240642274,0.137509871
-0.652650373,-9.590158194,-0.220322005,0.630253575,-0.137509871,0.355233833
-0.64647125,-9.563706412,-0.235967287,0.939650784,-0.721926822,-0.034377468
-0.613566156,-9.592060648,-0.308043516,1.20321137,-0.423988768,-0.275019742
-0.610018369,-9.594833052,-0.301436481,1.111538123,-0.206264806,0.022918312
-0.648334463,-9.621119339,-0.248773065,0.974028252,-0.320856365,0.206264806
-0.64904559,-9.600399246,-0.223021227,0.813600069,-0.091673247,0.148969027
-0.642103642,-9.598660031,-0.308833809,0.89381416,-0.034377468,0.011459156
-0.637991388,-9.620985236,-0.28476674,1.226129682,-0.080214091,-0.286478898
-0.622993762,-9.564406454,-0.230851372,1.39801702,-0.297938053,-0.103132403
-0.649354213,-9.588238083,-0.18758888,1.478231111,-0.263560586,-0.297938053
-0.671465659,-9.608305615,-0.160950414,1.214670526,-0.75630429,-0.435447924
-0.657500339,-9.584147902,-0.227179391,0.985487408,-0.630253575,-0.068754935
-0.653156373,-9.586264409,-0.218597505,1.008405719,-0.687549354,-0.19480565
-0.659389745,-9.604057297,-0.220741775,1.329262085,-0.905273316,-0.469825392
-0.638681423,-9.587373233,-0.220548812,1.340721241,-0.378152145,-0.309397209
-0.647325897,-9.635971875,-0.234495787,1.226129682,-0.492743704,-0.710467666
-0.668801557,-9.60068815,-0.230526073,1.352180397,-0.389611301,-0.859436693
-0.639330061,-9.639075269,-0.168743772,1.352180397,-0.25210143,-0.527121172
-0.641939128,-9.61596232,-0.198254999,1.168833902,-0.240642274,-0.492743704
-0.629403812,-9.618642216,-0.206504424,1.191752214,-0.309397209,-0.229183118
-0.611137592,-9.605425497,-0.171004879,0.939650784,-0.022918312,-0.527121172
-0.616857705,-9.576036307,-0.182371432,0.847977537,-1.04E-16,-0.423988768
-0.642573443,-9.574635439,-0.185427345,0.561498639,-0.068754935,-0.343774677
-0.645214393,-9.609539419,-0.209546505,0.721926822,-0.034377468,-0.275019742
-0.668219726,-9.57384593,-0.194756753,0.676090198,-0.297938053,-0.286478898
-0.632364078,-9.54126074,-0.241029444,0.481284548,-0.206264806,-0.229183118
-0.662173136,-9.577596195,-0.231558085,0.309397209,-0.355233833,0.05729578
-0.651886076,-9.616905356,-0.181511977,0.240642274,-0.206264806,0.068754935
-0.658961735,-9.57997149,-0.014625631,0.183346494,-0.309397209,0.034377468
-0.633916706,-9.609683724,-0.2211484,0.332315521,-0.103132403,0.022918312
-0.670294933,-9.6001899,-0.19031812,0.229183118,-0.378152145,-0.515662016
-0.630481146,-9.616753987,-0.207256459,0.275019742,-0.229183118,-0.423988768
-0.643016757,-9.591800781,-0.145480829,0.206264806,-0.217723962,-0.492743704
-0.640961071,-9.647407392,-0.23191046,-0.011459156,-0.423988768,-0.126050715
-0.633015658,-9.608272163,-0.178045222,0.114591559,-0.366692989,-0.297938053
-0.640344218,-9.638220622,-0.153185504,0.355233833,-0.332315521,-0.183346494
-0.592971532,-9.61730423,-0.163971109,0.343774677,-0.011459156,-0.126050715
-0.614321526,-9.619098773,-0.171366279,0.217723962,-0.19480565,-0.217723962
-0.622403592,-9.638021871,-0.144289993,0.297938053,-0.50420286,-0.263560586
-0.602818418,-9.636948853,-0.171098172,0.217723962,-0.550039483,-0.481284548
-0.584048356,-9.618462987,-0.085512397,0.275019742,-0.75630429,-0.527121172
-0.574782321,-9.647609675,-0.134894465,0.103132403,-1.168833902,-0.366692989
-0.584677275,-9.67602895,-0.162941844,-0.137509871,-1.191752214,-0.217723962
-0.6131663,-9.666234842,-0.17249335,-0.126050715,-1.340721241,1.64E-16
-0.61325616,-9.63754795,-0.201121971,0.263560586,-1.352180397,-0.343774677
-0.603396423,-9.63802864,-0.18224086,0.435447924,-1.478231111,-0.44690708
-0.632297075,-9.542572043,-0.172162066,0.561498639,-1.684495918,-0.148969027
-0.594710649,-9.58797596,-0.191720852,0.527121172,-1.993893127,-0.137509871
-0.583775638,-9.647566805,-0.163244973,0.263560586,-1.512608579,-0.160428183
